time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2022-06-23 08:45:00,2022-06-23 13:00:00,BUY,FVG-POI,1835.05,1829.6,1853.05,1829.6,0.19,-104.96,-1.013,SL,1.34,10014.7
2022-06-23 16:15:00,2022-06-24 04:00:00,BUY,OB-CHoCH,1838.7,1822.15,1892.56,1822.15,0.06,-99.7,-1.004,SL,1.03,9915.01
2022-06-24 13:45:00,2022-06-27 01:00:00,SELL,OB-CHoCH,1824.97,1835.46,1786.84,1835.46,0.09,-95.05,-1.007,SL,1.09,9819.96
2022-06-28 02:45:00,2022-06-29 12:30:00,BUY,OB-BOS,1823.85,1814.79,1853.05,1814.79,0.11,-100.39,-1.008,SL,1.29,9719.57
2022-06-30 03:30:00,2022-06-30 07:30:00,BUY,OB-CHoCH,1820.6,1815.27,1839.85,1815.27,0.18,-97.24,-1.013,SL,1.06,9622.32
2022-06-30 15:30:00,2022-07-01 08:30:00,BUY,OB-CHoCH,1820.64,1800.72,1892.56,1800.72,0.05,-99.95,-1.004,SL,1.27,9522.37
2022-07-18 10:15:00,2022-07-20 22:45:00,BUY,OB-CHoCH,1718.81,1698.04,1804.7,1698.04,0.05,-104.18,-1.003,SL,1.11,9418.2
2022-07-26 06:00:00,2022-07-27 21:30:00,SELL,OB-CHoCH,1724.69,1731.3,1693.23,1731.3,0.14,-93.51,-1.011,SL,1.55,9324.68
2022-08-03 10:15:00,2022-08-04 08:30:00,SELL,FVG-POI,1765.97,1774.21,1735.45,1774.21,0.11,-91.43,-1.008,SL,1.05,9233.25
2022-08-04 08:45:00,2022-08-04 11:45:00,SELL,FVG-POI,1769.5,1775.39,1752.61,1775.39,0.16,-95.33,-1.012,SL,1.28,9137.93
2022-08-08 04:45:00,2022-08-15 09:45:00,BUY,OB-CHoCH,1775.28,1753.62,1841.03,1791.64,0.04,65.16,0.752,time_stop,0.19,9203.09
2022-08-25 19:45:00,2022-08-26 11:00:00,BUY,FVG-POI,1758.52,1751.1,1782.34,1751.1,0.12,-89.91,-1.009,SL,1.02,9113.18
2022-09-06 08:30:00,2022-09-06 12:00:00,BUY,FVG-POI,1719.27,1711.62,1741.21,1711.62,0.12,-92.67,-1.009,SL,1.01,9020.5
2022-09-06 14:00:00,2022-09-06 15:45:00,BUY,OB-BOS,1713.93,1708.79,1733.4,1708.79,0.18,-93.71,-1.014,SL,1.36,8926.79
2022-09-09 18:30:00,2022-09-13 15:30:00,BUY,FVG-POI,1718.86,1709.78,1745.52,1709.78,0.1,-91.46,-1.008,SL,1.19,8835.33
2022-10-11 05:00:00,2022-10-11 18:30:00,SELL,FVG-POI,1662.18,1675.29,1614.81,1675.29,0.07,-92.26,-1.005,SL,1.42,8743.07
2022-10-12 07:00:00,2022-10-13 15:30:00,BUY,OB-BOS,1669.32,1660.21,1696.34,1660.21,0.1,-91.8,-1.008,SL,1.88,8651.28
2022-10-14 10:15:00,2022-10-21 15:15:00,SELL,OB-CHoCH,1664.95,1676.35,1614.81,1621.46,0.08,347.36,3.807,time_stop,0.31,8998.64
2022-10-25 19:45:00,2022-10-25 21:00:00,SELL,OB-CHoCH,1652.92,1656.28,1638.2,1656.28,0.27,-92.71,-1.021,SL,1.22,8905.93
2022-11-02 15:45:00,2022-11-02 20:00:00,SELL,FVG-POI,1653.16,1662.39,1617.29,1662.39,0.1,-92.97,-1.008,SL,1.34,8812.96
2022-11-15 20:15:00,2022-11-17 05:00:00,BUY,OB-BOS,1774.18,1765.49,1802.27,1765.49,0.1,-87.6,-1.008,SL,1.09,8725.37
2022-11-17 11:30:00,2022-11-24 16:30:00,SELL,FVG-POI,1764.5,1772.11,1706.91,1756.4,0.11,88.33,1.055,time_stop,0.42,8813.7
2022-11-25 19:00:00,2022-11-28 17:45:00,BUY,FVG-POI,1754.31,1744.96,1785.06,1744.96,0.09,-84.76,-1.007,SL,1.2,8728.93
2022-11-29 14:30:00,2022-11-30 15:15:00,SELL,OB-CHoCH,1752.99,1763.83,1704.04,1763.83,0.08,-87.29,-1.006,SL,1.07,8641.65
2022-12-06 07:30:00,2022-12-08 16:45:00,SELL,FVG-POI,1769.0,1792.0,1664.71,1792.0,0.04,-92.28,-1.003,SL,1.03,8549.36
2022-12-12 08:45:00,2022-12-12 17:30:00,BUY,OB-BOS,1789.09,1783.77,1806.14,1783.77,0.16,-86.31,-1.013,SL,1.13,8463.05
2022-12-13 05:30:00,2022-12-13 09:15:00,SELL,FVG-POI,1782.9,1787.92,1768.74,1787.92,0.17,-86.57,-1.014,SL,1.11,8376.48
2022-12-13 10:15:00,2022-12-13 15:15:00,SELL,OB-CHoCH,1784.74,1793.33,1744.91,1793.33,0.1,-86.59,-1.008,SL,1.17,8289.89
2022-12-15 15:30:00,2022-12-22 20:30:00,BUY,OB-CHoCH,1781.06,1768.25,1824.52,1785.8,0.06,28.02,0.365,time_stop,0.54,8317.91
2022-12-23 14:30:00,2022-12-27 09:00:00,SELL,FVG-POI,1796.2,1807.87,1744.91,1807.87,0.07,-82.16,-1.006,SL,1.05,8235.75
2022-12-27 15:15:00,2022-12-27 17:00:00,SELL,FVG-POI,1806.74,1814.38,1784.61,1814.38,0.11,-84.78,-1.009,SL,1.25,8150.97
2022-12-27 19:30:00,2022-12-30 16:00:00,SELL,OB-CHoCH,1816.67,1824.21,1793.61,1824.21,0.11,-83.71,-1.009,SL,1.14,8067.26
2023-01-06 06:45:00,2023-01-06 15:30:00,SELL,FVG-POI,1837.85,1844.63,1818.62,1844.63,0.12,-82.23,-1.01,SL,1.73,7985.02
2023-01-17 17:15:00,2023-01-18 15:00:00,SELL,OB-CHoCH,1910.54,1918.28,1879.85,1918.28,0.1,-78.14,-1.009,SL,1.17,7906.88
2023-01-27 10:45:00,2023-01-27 17:45:00,BUY,OB-BOS,1926.17,1918.99,1949.09,1918.99,0.11,-79.79,-1.01,SL,1.33,7827.09
2023-02-08 20:00:00,2023-02-09 19:45:00,BUY,OB-CHoCH,1879.51,1863.32,1927.59,1863.32,0.05,-81.3,-1.004,SL,1.02,7745.78
2023-02-15 04:45:00,2023-02-22 12:15:00,SELL,OB-BOS,1851.9,1865.89,1804.38,1833.23,0.06,111.6,1.33,time_stop,0.03,7857.38
2023-02-22 13:00:00,2023-02-22 21:00:00,BUY,FVG-POI,1837.46,1829.16,1865.7,1829.16,0.09,-75.36,-1.008,SL,1.24,7782.02
2023-02-23 10:00:00,2023-03-02 15:00:00,SELL,OB-CHoCH,1827.6,1846.99,1765.85,1832.66,0.04,-20.52,-0.265,time_stop,0.87,7761.5
2023-03-10 07:45:00,2023-03-10 16:30:00,BUY,FVG-POI,1831.4,1824.6,1851.66,1851.66,0.11,222.09,2.967,TP,0.17,7983.59
2023-03-16 05:15:00,2023-03-17 16:30:00,BUY,FVG-POI,1913.37,1900.83,1959.68,1959.68,0.06,277.44,3.687,TP,0.11,8261.03
2023-03-22 04:00:00,2023-03-22 20:00:00,SELL,FVG-POI,1941.09,1952.86,1885.75,1952.86,0.07,-82.89,-1.006,SL,1.98,8178.14
2023-03-23 14:30:00,2023-03-23 15:45:00,SELL,FVG-POI,1967.31,1982.25,1918.26,1982.25,0.05,-75.04,-1.005,SL,1.19,8103.1
2023-03-27 10:30:00,2023-03-27 12:15:00,BUY,OB-CHoCH,1972.04,1963.08,1998.37,1963.08,0.09,-81.25,-1.008,SL,1.18,8021.86
2023-03-29 03:15:00,2023-03-30 19:00:00,SELL,OB-CHoCH,1971.1,1979.37,1944.04,1979.37,0.1,-83.39,-1.008,SL,1.02,7938.46
2023-03-31 04:00:00,2023-03-31 11:00:00,BUY,FVG-POI,1981.67,1974.68,2003.33,1974.68,0.11,-77.64,-1.01,SL,1.04,7860.83
2023-04-03 20:00:00,2023-04-04 16:30:00,SELL,FVG-POI,1982.54,1992.58,1953.29,1992.58,0.08,-80.88,-1.007,SL,1.03,7779.95
2023-04-10 15:00:00,2023-04-11 11:15:00,SELL,FVG-POI,1997.84,2006.7,1972.4,2006.7,0.09,-80.4,-1.008,SL,1.01,7699.55
2023-04-17 11:15:00,2023-04-19 11:45:00,SELL,FVG-POI,2009.09,2018.64,1977.01,1977.01,0.08,256.08,3.351,TP,0.32,7955.63
2023-04-20 02:15:00,2023-04-20 13:15:00,SELL,FVG-POI,1993.27,2002.51,1949.15,2002.51,0.09,-83.83,-1.008,SL,1.25,7871.81
2023-04-20 18:00:00,2023-04-27 23:00:00,SELL,OB-BOS,1999.93,2013.18,1949.15,1988.12,0.06,70.44,0.886,time_stop,0.72,7942.25
2023-05-01 02:30:00,2023-05-01 15:15:00,SELL,FVG-POI,1986.99,1998.04,1949.15,1998.04,0.07,-77.87,-1.006,SL,1.01,7864.38
2023-05-02 01:45:00,2023-05-02 17:30:00,BUY,OB-CHoCH,1983.0,1976.5,2006.0,2006.0,0.12,275.16,3.529,TP,0.69,8139.54
2023-05-08 16:30:00,2023-05-10 15:30:00,SELL,FVG-POI,2020.67,2040.02,1949.15,2040.02,0.04,-77.66,-1.004,SL,1.42,8061.88
2023-05-11 03:00:00,2023-05-11 10:00:00,BUY,OB-BOS,2032.56,2025.76,2053.0,2025.76,0.12,-82.47,-1.01,SL,1.58,7979.41
2023-05-12 18:45:00,2023-05-19 23:45:00,SELL,FVG-POI,2009.15,2024.51,1949.15,1977.5,0.05,157.9,2.056,time_stop,0.85,8137.31
2023-05-22 14:30:00,2023-05-24 15:15:00,SELL,OB-BOS,1970.9,1984.86,1907.58,1984.86,0.06,-84.15,-1.005,SL,1.03,8053.16
2023-05-24 16:30:00,2023-06-01 01:00:00,SELL,OB-BOS,1972.88,1986.8,1907.58,1963.78,0.06,54.18,0.649,time_stop,0.16,8107.34
2023-06-01 13:45:00,2023-06-02 19:45:00,BUY,OB-BOS,1966.92,1953.27,2014.9,1953.27,0.06,-82.3,-1.005,SL,1.08,8025.04
2023-06-06 01:15:00,2023-06-07 16:45:00,SELL,FVG-POI,1960.59,1969.26,1934.85,1969.26,0.09,-78.63,-1.008,SL,1.11,7946.41
2023-06-07 18:15:00,2023-06-09 15:30:00,SELL,FVG-POI,1955.13,1971.61,1885.75,1971.61,0.05,-82.76,-1.004,SL,1.09,7863.65
2023-06-09 16:30:00,2023-06-13 15:30:00,SELL,FVG-POI,1958.01,1970.21,1907.58,1970.21,0.06,-73.59,-1.006,SL,1.08,7790.05
2023-06-14 20:45:00,2023-06-22 05:15:00,SELL,FVG-POI,1953.29,1969.5,1885.75,1932.79,0.05,102.15,1.26,time_stop,0.9,7892.2
2023-06-23 19:30:00,2023-07-03 01:30:00,SELL,OB-BOS,1918.35,1939.06,1827.75,1919.5,0.04,-4.88,-0.059,time_stop,0.72,7887.32
2023-07-05 07:45:00,2023-07-05 09:30:00,BUY,FVG-POI,1925.87,1921.62,1937.6,1921.62,0.19,-81.98,-1.016,SL,1.18,7805.34
2023-07-05 10:45:00,2023-07-05 17:30:00,BUY,FVG-POI,1927.79,1920.22,1954.56,1920.22,0.1,-76.37,-1.009,SL,1.14,7728.97
2023-07-07 21:15:00,2023-07-11 09:30:00,SELL,OB-BOS,1925.41,1936.09,1892.95,1936.09,0.07,-75.21,-1.007,SL,1.22,7653.75
2023-07-25 07:45:00,2023-07-26 09:15:00,SELL,OB-BOS,1960.27,1968.47,1933.51,1968.47,0.09,-74.45,-1.009,SL,1.19,7579.3
2023-07-26 18:00:00,2023-07-27 15:30:00,BUY,FVG-POI,1971.21,1962.97,2022.59,1962.97,0.09,-74.75,-1.008,SL,1.0,7504.55
2023-07-28 20:30:00,2023-08-07 02:30:00,SELL,FVG-POI,1959.31,1975.08,1912.69,1943.27,0.05,79.85,1.012,time_stop,0.83,7584.4
2023-08-07 14:30:00,2023-08-08 05:00:00,BUY,OB-CHoCH,1936.49,1931.36,1954.84,1931.36,0.15,-77.98,-1.014,SL,1.04,7506.42
2023-08-08 11:45:00,2023-08-08 14:30:00,BUY,OB-BOS,1935.43,1929.65,1954.84,1929.65,0.13,-76.01,-1.012,SL,1.01,7430.41
2023-08-22 04:15:00,2023-08-29 09:15:00,BUY,OB-CHoCH,1896.69,1886.95,1930.14,1923.95,0.08,217.52,2.79,time_stop,0.78,7647.93
2023-08-29 09:45:00,2023-08-29 17:00:00,SELL,OB-BOS,1922.66,1930.62,1898.81,1930.62,0.1,-80.34,-1.009,SL,1.24,7567.59
2023-09-04 10:15:00,2023-09-11 17:45:00,SELL,OB-CHoCH,1943.21,1953.5,1912.77,1922.62,0.07,143.64,1.994,time_stop,0.13,7711.23
2023-09-11 19:15:00,2023-09-12 09:00:00,BUY,FVG-POI,1925.11,1919.51,1942.02,1919.51,0.14,-79.44,-1.012,SL,1.06,7631.79
