time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2013-07-09 12:00:00,2013-07-10 17:30:00,SELL,SweepEQH,1254.04,1261.1,1233.58,1261.1,0.12,-85.57,-1.01,SL,1.12,8339.68
2013-07-11 10:00:00,2013-07-17 17:15:00,SELL,SweepEQH,1284.57,1300.07,1233.58,1300.07,0.05,-77.83,-1.005,SL,1.03,8261.86
2013-07-25 08:45:00,2013-07-25 10:00:00,SELL,SweepEQH,1320.63,1324.48,1293.87,1324.48,0.21,-82.4,-1.018,SL,1.06,8179.46
2013-07-25 11:45:00,2013-07-25 15:30:00,SELL,SweepEQH,1318.18,1325.33,1293.87,1325.33,0.11,-79.43,-1.01,SL,1.32,8100.03
2013-07-29 04:00:00,2013-07-29 13:45:00,SELL,SweepEQH,1327.05,1335.29,1293.87,1335.29,0.1,-83.09,-1.008,SL,1.35,8016.93
2013-08-14 08:00:00,2013-08-14 12:00:00,SELL,SweepEQH,1319.38,1325.9,1291.71,1325.9,0.12,-79.08,-1.011,SL,1.23,7937.86
2013-08-14 16:00:00,2013-08-14 17:00:00,SELL,SweepEQH,1321.27,1328.03,1291.71,1328.03,0.12,-82.02,-1.01,SL,1.05,7855.84
2013-08-19 22:30:00,2013-08-20 07:15:00,BUY,SweepEQL,1368.19,1361.93,1386.06,1361.93,0.13,-82.35,-1.011,SL,1.1,7773.49
2013-08-21 07:30:00,2013-08-21 21:30:00,SELL,SweepEQH,1368.01,1374.88,1324.81,1374.88,0.11,-76.37,-1.01,SL,1.62,7697.11
2013-08-22 01:45:00,2013-08-22 17:00:00,SELL,SweepEQH,1356.58,1380.21,1282.93,1380.21,0.03,-71.11,-1.003,SL,1.06,7626.0
2013-08-29 03:30:00,2013-08-30 10:00:00,SELL,SweepEQH,1414.07,1418.72,1398.15,1398.15,0.16,253.6,3.411,TP,0.56,7879.6
2013-08-30 15:30:00,2013-08-30 18:15:00,SELL,SweepEQH,1393.44,1399.28,1368.66,1399.28,0.14,-82.69,-1.012,SL,1.75,7796.91
2013-09-04 08:30:00,2013-09-05 08:30:00,SELL,SweepEQH,1408.99,1415.44,1384.5,1384.5,0.12,293.04,3.784,TP,0.14,8089.95
2013-09-05 09:45:00,2013-09-05 17:00:00,BUY,SweepEQL,1387.07,1380.47,1405.8,1380.47,0.12,-80.05,-1.011,SL,1.14,8009.9
2013-09-09 15:45:00,2013-09-10 06:00:00,BUY,SweepEQL,1388.22,1381.47,1409.89,1381.47,0.12,-81.87,-1.01,SL,1.46,7928.03
2013-09-17 01:45:00,2013-09-18 03:15:00,BUY,SweepEQL,1314.09,1303.06,1359.29,1303.06,0.07,-77.71,-1.006,SL,1.7,7850.32
2013-09-23 05:30:00,2013-09-24 14:30:00,BUY,SweepEQL,1321.78,1312.52,1356.69,1312.52,0.08,-74.61,-1.008,SL,1.01,7775.71
2013-09-26 03:45:00,2013-09-26 05:30:00,BUY,SweepEQL,1335.05,1330.73,1356.69,1330.73,0.18,-78.93,-1.016,SL,1.06,7696.77
2013-09-27 05:15:00,2013-10-01 15:00:00,BUY,SweepEQL,1325.09,1319.17,1356.69,1319.17,0.13,-77.88,-1.012,SL,1.71,7618.9
2013-10-16 22:30:00,2013-10-17 03:15:00,SELL,SweepEQH,1279.43,1284.16,1256.52,1284.16,0.16,-76.78,-1.015,SL,1.27,7542.11
2013-10-17 22:30:00,2013-10-18 09:45:00,SELL,SweepEQH,1318.72,1324.93,1274.54,1324.93,0.12,-75.37,-1.011,SL,1.36,7466.74
2013-10-28 15:30:00,2013-10-28 16:00:00,SELL,SweepEQH,1348.71,1355.0,1330.36,1355.0,0.12,-76.32,-1.011,SL,1.32,7390.43
2013-11-06 15:45:00,2013-11-07 14:45:00,SELL,SweepEQH,1316.54,1322.51,1274.54,1322.51,0.12,-72.5,-1.012,SL,1.64,7317.92
